user_id,n_relevant,n_novel_relevant,novel_hits,seen_hits,novel_recall,seed,model
user_000000_000000,15,9,0,0,0.0,73,svd_256
user_000000_000001,14,6,0,4,0.0,73,svd_256
user_000000_000002,4,0,0,4,,73,svd_256
user_000000_000003,13,9,1,3,0.1111111111111111,73,svd_256
user_000000_000004,13,7,0,1,0.0,73,svd_256
user_000000_000005,7,1,0,3,0.0,73,svd_256
user_000000_000006,8,2,0,5,0.0,73,svd_256
user_000000_000007,11,2,0,7,0.0,73,svd_256
user_000000_000008,15,11,1,0,0.09090909090909091,73,svd_256
user_000000_000009,14,9,1,3,0.1111111111111111,73,svd_256
user_000000_000010,12,2,0,6,0.0,73,svd_256
user_000000_000011,14,6,1,5,0.16666666666666666,73,svd_256
user_000000_000012,8,3,0,5,0.0,73,svd_256
user_000000_000013,14,9,0,1,0.0,73,svd_256
user_000000_000014,14,4,0,6,0.0,73,svd_256
user_000000_000015,12,5,0,6,0.0,73,svd_256
user_000000_000016,12,4,1,3,0.25,73,svd_256
user_000000_000017,10,2,0,5,0.0,73,svd_256
user_000000_000018,14,8,0,3,0.0,73,svd_256
user_000000_000019,15,8,0,2,0.0,73,svd_256
user_000000_000020,12,5,0,4,0.0,73,svd_256
user_000000_000021,11,7,1,4,0.14285714285714285,73,svd_256
user_000000_000022,11,2,0,6,0.0,73,svd_256
user_000000_000023,11,7,1,2,0.14285714285714285,73,svd_256
user_000000_000024,8,5,0,3,0.0,73,svd_256
user_000000_000025,12,3,0,6,0.0,73,svd_256
user_000000_000026,14,8,1,3,0.125,73,svd_256
user_000000_000027,13,7,0,5,0.0,73,svd_256
user_000000_000028,10,3,0,5,0.0,73,svd_256
user_000000_000029,5,1,0,3,0.0,73,svd_256
user_000000_000030,13,8,0,5,0.0,73,svd_256
user_000000_000031,9,4,0,4,0.0,73,svd_256
user_000000_000032,6,1,0,5,0.0,73,svd_256
user_000000_000033,13,6,0,3,0.0,73,svd_256
user_000000_000034,15,11,0,2,0.0,73,svd_256
user_000000_000035,11,3,0,5,0.0,73,svd_256
user_000000_000036,14,10,0,4,0.0,73,svd_256
user_000000_000037,11,5,0,3,0.0,73,svd_256
user_000000_000038,13,7,0,3,0.0,73,svd_256
user_000000_000039,10,5,0,5,0.0,73,svd_256
user_000000_000040,14,6,0,4,0.0,73,svd_256
user_000000_000041,8,5,0,3,0.0,73,svd_256
user_000000_000042,14,6,0,4,0.0,73,svd_256
user_000000_000043,5,2,1,3,0.5,73,svd_256
user_000000_000044,14,8,0,2,0.0,73,svd_256
user_000000_000045,14,11,1,0,0.09090909090909091,73,svd_256
user_000000_000046,14,6,1,4,0.16666666666666666,73,svd_256
user_000000_000047,14,5,1,4,0.2,73,svd_256
user_000000_000048,8,2,1,5,0.5,73,svd_256
user_000000_000049,8,3,1,2,0.3333333333333333,73,svd_256
user_000000_000050,8,5,1,3,0.2,73,svd_256
user_000000_000051,9,4,0,3,0.0,73,svd_256
user_000000_000052,7,1,0,5,0.0,73,svd_256
user_000000_000053,15,9,0,0,0.0,73,svd_256
user_000000_000054,13,7,0,5,0.0,73,svd_256
user_000000_000055,14,10,0,3,0.0,73,svd_256
user_000000_000056,5,0,0,5,,73,svd_256
user_000000_000057,15,7,1,2,0.14285714285714285,73,svd_256
user_000000_000058,13,5,0,4,0.0,73,svd_256
user_000000_000059,12,2,0,6,0.0,73,svd_256
user_000000_000060,9,4,1,3,0.25,73,svd_256
user_000000_000061,7,1,0,5,0.0,73,svd_256
user_000000_000062,13,8,0,5,0.0,73,svd_256
user_000000_000063,12,3,0,4,0.0,73,svd_256
user_000000_000064,14,9,0,1,0.0,73,svd_256
user_000000_000065,8,2,0,3,0.0,73,svd_256
user_000000_000066,14,9,0,3,0.0,73,svd_256
user_000000_000067,14,11,0,1,0.0,73,svd_256
user_000000_000068,12,7,0,2,0.0,73,svd_256
user_000000_000069,8,3,0,2,0.0,73,svd_256
user_000000_000070,10,2,0,5,0.0,73,svd_256
user_000000_000071,12,6,1,2,0.16666666666666666,73,svd_256
user_000000_000072,14,7,0,3,0.0,73,svd_256
user_000000_000073,9,1,0,3,0.0,73,svd_256
user_000000_000074,12,6,0,2,0.0,73,svd_256
user_000000_000075,14,8,0,3,0.0,73,svd_256
user_000000_000076,8,5,1,3,0.2,73,svd_256
user_000000_000077,12,8,0,4,0.0,73,svd_256
user_000000_000078,13,8,0,3,0.0,73,svd_256
user_000000_000079,13,10,3,0,0.3,73,svd_256
user_000000_000080,7,4,1,3,0.25,73,svd_256
user_000000_000081,12,3,1,6,0.3333333333333333,73,svd_256
user_000000_000082,11,7,0,4,0.0,73,svd_256
user_000000_000083,14,10,1,3,0.1,73,svd_256
user_000000_000084,10,5,1,4,0.2,73,svd_256
user_000000_000085,10,5,0,5,0.0,73,svd_256
user_000000_000086,14,7,0,5,0.0,73,svd_256
user_000000_000087,13,7,0,3,0.0,73,svd_256
user_000000_000088,15,8,0,0,0.0,73,svd_256
user_000000_000089,14,9,0,2,0.0,73,svd_256
user_000000_000090,14,10,0,1,0.0,73,svd_256
user_000000_000091,11,4,0,4,0.0,73,svd_256
user_000000_000092,6,1,0,5,0.0,73,svd_256
user_000000_000093,14,12,0,1,0.0,73,svd_256
user_000000_000094,14,13,3,0,0.23076923076923078,73,svd_256
user_000000_000095,9,3,0,6,0.0,73,svd_256
user_000000_000096,13,10,0,3,0.0,73,svd_256
user_000000_000097,14,4,0,5,0.0,73,svd_256
user_000000_000098,14,6,0,4,0.0,73,svd_256
user_000000_000099,14,8,0,4,0.0,73,svd_256
user_000000_000100,10,8,0,2,0.0,73,svd_256
user_000000_000101,14,8,0,4,0.0,73,svd_256
user_000000_000102,13,8,1,2,0.125,73,svd_256
user_000000_000103,14,10,0,3,0.0,73,svd_256
user_000000_000104,10,6,0,3,0.0,73,svd_256
user_000000_000105,11,5,0,4,0.0,73,svd_256
user_000000_000106,14,9,0,3,0.0,73,svd_256
user_000000_000107,14,10,0,0,0.0,73,svd_256
user_000000_000108,12,3,0,7,0.0,73,svd_256
user_000000_000109,14,3,0,5,0.0,73,svd_256
user_000000_000110,14,7,0,3,0.0,73,svd_256
user_000000_000111,13,10,0,3,0.0,73,svd_256
user_000000_000112,6,2,1,4,0.5,73,svd_256
user_000000_000113,12,3,0,6,0.0,73,svd_256
user_000000_000114,9,3,0,4,0.0,73,svd_256
user_000000_000115,12,8,2,2,0.25,73,svd_256
user_000000_000116,11,6,1,4,0.16666666666666666,73,svd_256
user_000000_000117,9,2,0,5,0.0,73,svd_256
user_000000_000118,14,9,0,1,0.0,73,svd_256
user_000000_000119,14,8,1,1,0.125,73,svd_256
user_000000_000120,14,6,0,3,0.0,73,svd_256
user_000000_000121,10,5,0,4,0.0,73,svd_256
user_000000_000122,6,1,0,5,0.0,73,svd_256
user_000000_000123,8,7,0,1,0.0,73,svd_256
user_000000_000124,14,7,0,3,0.0,73,svd_256
user_000000_000125,14,5,0,4,0.0,73,svd_256
user_000000_000126,8,1,0,5,0.0,73,svd_256
user_000000_000127,12,7,0,2,0.0,73,svd_256
user_000000_000128,14,12,0,2,0.0,73,svd_256
user_000000_000129,14,8,2,1,0.25,73,svd_256
user_000000_000130,13,5,0,5,0.0,73,svd_256
user_000000_000131,13,6,0,5,0.0,73,svd_256
user_000000_000132,12,5,1,5,0.2,73,svd_256
user_000000_000133,10,5,1,3,0.2,73,svd_256
user_000000_000134,7,1,0,4,0.0,73,svd_256
user_000000_000135,15,9,0,1,0.0,73,svd_256
user_000000_000136,13,8,2,4,0.25,73,svd_256
user_000000_000137,14,6,0,4,0.0,73,svd_256
user_000000_000138,10,6,0,4,0.0,73,svd_256
user_000000_000139,10,2,0,7,0.0,73,svd_256
user_000000_000140,6,1,1,5,1.0,73,svd_256
user_000000_000141,13,5,1,3,0.2,73,svd_256
user_000000_000142,14,4,0,5,0.0,73,svd_256
user_000000_000143,8,4,0,4,0.0,73,svd_256
user_000000_000144,14,5,0,4,0.0,73,svd_256
user_000000_000145,10,5,1,4,0.2,73,svd_256
user_000000_000146,15,9,0,3,0.0,73,svd_256
user_000000_000147,12,3,0,6,0.0,73,svd_256
user_000000_000148,15,10,0,2,0.0,73,svd_256
user_000000_000149,11,4,1,5,0.25,73,svd_256
user_000000_000150,14,11,1,3,0.09090909090909091,73,svd_256
user_000000_000151,15,12,0,1,0.0,73,svd_256
user_000000_000152,6,2,0,4,0.0,73,svd_256
user_000000_000153,14,9,1,2,0.1111111111111111,73,svd_256
user_000000_000154,8,5,0,3,0.0,73,svd_256
user_000000_000155,14,8,0,5,0.0,73,svd_256
user_000000_000156,14,7,1,4,0.14285714285714285,73,svd_256
user_000000_000157,10,3,1,2,0.3333333333333333,73,svd_256
user_000000_000158,10,2,0,6,0.0,73,svd_256
user_000000_000159,10,4,0,5,0.0,73,svd_256
user_000000_000160,12,4,0,4,0.0,73,svd_256
user_000000_000161,14,5,0,4,0.0,73,svd_256
user_000000_000162,7,0,0,6,,73,svd_256
user_000000_000163,15,10,0,2,0.0,73,svd_256
user_000000_000164,13,7,1,3,0.14285714285714285,73,svd_256
user_000000_000165,7,4,1,2,0.25,73,svd_256
user_000000_000166,9,5,0,4,0.0,73,svd_256
user_000000_000167,13,8,0,2,0.0,73,svd_256
user_000000_000168,9,3,0,3,0.0,73,svd_256
user_000000_000169,8,2,0,6,0.0,73,svd_256
user_000000_000170,12,7,0,2,0.0,73,svd_256
user_000000_000171,12,8,0,2,0.0,73,svd_256
user_000000_000172,11,5,0,4,0.0,73,svd_256
user_000000_000173,14,9,1,3,0.1111111111111111,73,svd_256
user_000000_000174,14,7,0,2,0.0,73,svd_256
user_000000_000175,14,10,1,2,0.1,73,svd_256
user_000000_000176,15,6,0,3,0.0,73,svd_256
user_000000_000177,10,2,0,5,0.0,73,svd_256
user_000000_000178,14,10,2,1,0.2,73,svd_256
user_000000_000179,15,10,1,4,0.1,73,svd_256
user_000000_000180,11,5,1,4,0.2,73,svd_256
user_000000_000181,12,4,0,5,0.0,73,svd_256
user_000000_000182,6,0,0,6,,73,svd_256
user_000000_000183,12,8,1,3,0.125,73,svd_256
user_000000_000184,15,11,2,3,0.18181818181818182,73,svd_256
user_000000_000185,12,6,1,3,0.16666666666666666,73,svd_256
user_000000_000186,7,1,0,6,0.0,73,svd_256
user_000000_000187,13,4,0,6,0.0,73,svd_256
user_000000_000188,14,11,2,1,0.18181818181818182,73,svd_256
user_000000_000189,14,6,0,5,0.0,73,svd_256
user_000000_000190,12,4,0,5,0.0,73,svd_256
user_000000_000191,13,7,0,4,0.0,73,svd_256
user_000000_000192,13,4,0,5,0.0,73,svd_256
user_000000_000193,14,7,0,3,0.0,73,svd_256
user_000000_000194,14,8,0,2,0.0,73,svd_256
user_000000_000195,15,12,0,2,0.0,73,svd_256
user_000000_000196,11,3,0,4,0.0,73,svd_256
user_000000_000197,14,10,0,2,0.0,73,svd_256
user_000000_000198,14,6,0,4,0.0,73,svd_256
user_000000_000199,15,8,0,5,0.0,73,svd_256
user_000000_000200,13,7,0,5,0.0,73,svd_256
user_000000_000201,14,7,0,1,0.0,73,svd_256
user_000000_000202,13,9,0,1,0.0,73,svd_256
user_000000_000203,11,6,0,4,0.0,73,svd_256
user_000000_000204,14,7,0,1,0.0,73,svd_256
user_000000_000205,12,5,0,5,0.0,73,svd_256
user_000000_000206,14,9,0,2,0.0,73,svd_256
user_000000_000207,11,3,0,6,0.0,73,svd_256
